county,main_ev_name,main_ev_street_address,main_ev_city,state,main_ev_zip,main_ev_lat,main_ev_long,registrar_phone,main_ev_monday_friday,main_ev_sat,main_ev_sun,county_ev_lookup_link
Essex County,Voter Registration & Election office,"205 S. Cross Street, Suite B",Tappahannock,VA,22560,,,804-443-4611,Coming Soon,Coming Soon,,
Fairfax County,Fairfax County Government Center,12000 Government Center Parkway Suite 323,Fairfax,VA,22035,,,703-222-0776,Sept 18th thru Oct 31st: 8am to 4:30pm; open on October 12th,"Sept. 19, Oct. 24, and Oct. 31: 9am to 5pm","Oct. 18 and Oct. 25, Noon to 5pm",https://www.fairfaxcounty.gov/elections/early-voting
Fairfax County,Mt. Vernon Governmental Center,2511 Parkers Lane,Alexandria,VA,22306,,,703-222-0777,Sept 18th thru Oct 31st: 1pm to 7pm; open on October 12th,"Sept. 19, Oct. 24, and Oct. 31: 9am to 5pm","Oct. 18 and Oct. 25, Noon to 5pm",https://www.fairfaxcounty.gov/elections/early-voting
Fairfax County,North County Governmental Center,"1801 Cameron Glen Drive Reston, 20190",Reston,VA,20190,,,703-222-0778,Sept 18th thru Oct 31st: 1pm to 7pm; open on October 12th,"Sept. 19, Oct. 24, and Oct. 31: 9am to 5pm","Oct. 18 and Oct. 25, Noon to 5pm",https://www.fairfaxcounty.gov/elections/early-voting
Fairfax County,Burke Central Library,5935 Freds Oak Road,Burke,VA,22015,,,703-222-0779,Oct 22nd thru Oct 31st: 1pm to 7pm; open on October 12th,Oct. 24 and Oct. 31: 9am to 5pm,Oct 25th: Noon to 5pm,https://www.fairfaxcounty.gov/elections/early-voting
Fairfax County,Centreville Regional Library,14200 St. Germain Drive,Centreville,VA,20121,,,703-222-0780,Oct 22nd thru Oct 31st: 1pm to 7pm; open on October 12th,Oct. 24 and Oct. 31: 9am to 5pm,Oct 25th: Noon to 5pm,https://www.fairfaxcounty.gov/elections/early-voting
Fairfax County,Franconia Government Center (New Address),"7130 Silver Lake Boulevard,",Alexandria,VA,22315,,,703-222-0781,Oct 22nd thru Oct 31st: 1pm to 7pm; open on October 12th,Oct. 24 and Oct. 31: 9am to 5pm,Oct 25th: Noon to 5pm,https://www.fairfaxcounty.gov/elections/early-voting
Fairfax County,Great Falls Library,9830 Georgetown Pike,Great Falls,VA,22066,,,703-222-0782,Oct 22nd thru Oct 31st: 1pm to 7pm; open on October 12th,Oct. 24 and Oct. 31: 9am to 5pm,Oct 25th: Noon to 5pm,https://www.fairfaxcounty.gov/elections/early-voting
Fairfax County,Herndon-Fortnightly Library,768 Center Street,Herndon,VA,20170,,,703-222-0783,Oct 22nd thru Oct 31st: 1pm to 7pm; open on October 12th,Oct. 24 and Oct. 31: 9am to 5pm,Oct 25th: Noon to 5pm,https://www.fairfaxcounty.gov/elections/early-voting
Fairfax County,Lorton Community Center,9520 Richmond Highway,Lorton,VA,22079,,,703-222-0784,Oct 22nd thru Oct 31st: 1pm to 7pm; open on October 12th,Oct. 24 and Oct. 31: 9am to 5pm,Oct 25th: Noon to 5pm,https://www.fairfaxcounty.gov/elections/early-voting
Fairfax County,Mason Government Center,6507 Columbia Pike,Annandale,VA,22003,,,703-222-0785,Oct 22nd thru Oct 31st: 1pm to 7pm; open on October 12th,Oct. 24 and Oct. 31: 9am to 5pm,Oct 25th: Noon to 5pm,https://www.fairfaxcounty.gov/elections/early-voting
Fairfax County,Jim Scott Community Center,3001 Vaden Drive,Fairfax,VA,22031,,,703-222-0786,Oct 22nd thru Oct 31st: 1pm to 7pm; open on October 12th,Oct. 24 and Oct. 31: 9am to 5pm,Oct 25th: Noon to 5pm,https://www.fairfaxcounty.gov/elections/early-voting
Fairfax County,Sully Government Center,4900 Stonecroft Boulevard,Chantilly,VA,20151,,,703-222-0787,Oct 22nd thru Oct 31st: 1pm to 7pm; open on October 12th,Oct. 24 and Oct. 31: 9am to 5pm,Oct 25th: Noon to 5pm,https://www.fairfaxcounty.gov/elections/early-voting
Fairfax County,Thomas Jefferson Library,7415 Arlington Blvd,Falls Church,VA,22042,,,703-222-0788,Oct 22nd thru Oct 31st: 1pm to 7pm; open on October 12th,Oct. 24 and Oct. 31: 9am to 5pm,Oct 25th: Noon to 5pm,https://www.fairfaxcounty.gov/elections/early-voting
Fairfax County,Tysons Pimmit Library,7584 Leesburg Pike,Falls Church,VA,22043,,,703-222-0789,Oct 22nd thru Oct 31st: 1pm to 7pm; open on October 12th,Oct. 24 and Oct. 31: 9am to 5pm,Oct 25th: Noon to 5pm,https://www.fairfaxcounty.gov/elections/early-voting
Fairfax County,West Springfield Governmental Center,6140 Rolling Road,Springfield,VA,22152,,,703-222-0790,Oct 22nd thru Oct 31st: 1pm to 7pm; open on October 12th,Oct. 24 and Oct. 31: 9am to 5pm,Oct 25th: Noon to 5pm,https://www.fairfaxcounty.gov/elections/early-voting
Fairfax County,McLean Government Center,1437 Balls Hill Rd,McLean,VA,22101,,,703-222-0791,Oct 22nd thru Oct 31st: 1pm to 7pm; open on October 12th,Oct. 24 and Oct. 31: 9am to 5pm,Oct 25th: Noon to 5pm,https://www.fairfaxcounty.gov/elections/early-voting
Falls Church City,City Hall,300 Park Ave.,Falls Church,VA,22046,,,703-248-5085,Coming Soon,Coming Soon,,
Fauquier County,Office of the General Registrar,"528 Waterloo Rd, Suite 200",Warrenton,VA,20186,,,703-248-5085,Coming Soon,Coming Soon,,
Floyd County,Floyd County Courthouse,"100 East Main Street, Room 302",Floyd,VA,24091,,,540-745-9350,Coming Soon,Coming Soon,,
Fluvanna County,General Registrar's office,265 Turkeysag Trl Suite 115,Palmyra,VA,22963,,,434-589-3593,Coming Soon,Coming Soon,,
Franklin City,General Registrar's office,100 S. Main Street,Franklin,VA,23851,,,757-562-8545,Coming Soon,Coming Soon,,
Franklin County,Franklin County Office of Elections,1255 Franklin Street Suite 106,Rocky Mount,VA,24151,,,757-562-8545,Coming Soon,Coming Soon,,
Frederick County,Office of Elections,343 Sunnyside Plaza Drive,Winchester,VA,22603,,,,Coming Soon,Coming Soon,,
Fredericksburg City,Office of the General Registrar,"601 Caroline Street, Suite 500",Fredericksburg,VA,22401,,,540-372-1030,Coming Soon,Coming Soon,,
Galax County,Office of the General Registrar,"111 E. Grayson St., Room #102",Galax,VA,24333,,,276-236-7509,Coming Soon,Coming Soon,,
Giles County,Office of the General Registrar,201 N. Main Street Suite1,Pearisburg,VA,24134,,,540-921-2802,Coming Soon,Coming Soon,,
Glouchester,Elections and Voter Registration Office,6467 Main Street Building 1,Gloucester,VA,23061,,,804-693-3659,Coming Soon,Coming Soon,,
Goochland County,Parks and Recreation building,1800 Sandy Hook Rd,Goochland,VA,23063,,,804-556-5803,Coming Soon,Coming Soon,,
Grayson,Department of Elections,"129 Davis Street, Room #101",Independence,VA,24348,,,276-773-2842,Coming Soon,Coming Soon,,
Greene,Office of Voter Registration,32 Stanard Street,Stanardsville,VA,22973,,,434-985-5213,Coming Soon,Coming Soon,,
Greenesville,Voter Registrar Office,1781 Greensville County Circle,Emporia,VA,23847,,,434-348-4228,Coming Soon,Coming Soon,,
Halifax,Voter Registrar Office,"1030 Mary Bethune Street, Suite 102",Halifax,VA,24558,,,434-476-3322,Coming Soon,Coming Soon,,
Hampton City,Voter Registrar Office,101 Kings Way,Hampton,VA,23669,,,757-727-6218,Coming Soon,Coming Soon,,
Hanover County,Wickham Building,7497 County Complex Rd.,Hanover,VA,23069,,,804-365-6080,Coming Soon,Coming Soon,,
Harrisonburg City,City Hall,409 South Main St.,Harrisonburg,VA,22801,,,540-432-7707,,Coming Soon,,
Henrico County,Western Government Center: Admin Building Annex,"4305 E PARHAM RD, ADMIN ANNEX 105",Henrico,VA,23228,,,804-501-4347,Sept 18-Oct 30: M-F 8am-4:30pm,Oct 24 & 31: 9am-5pm,Sun Oct 18 & 25: 11am-4pm,
Henrico County,Eastern Government Center,3820 Nine Mile Rd,Henrico,VA,23223,,,804-501-4347,Sept 18-Oct 30: M-F 8am-4:30pm,Oct 24 & 31: 9am-5pm,Sun Oct 18 & 25: 11am-4pm,
Henrico County,Varina Library,1875 New Market Road,Richmond,VA,23231,,,(804) 501-1980,Oct 19-Oct 30: M-F 8am-4:30pm,Oct 24 & 31: 9am-5pm,Sun Oct 18 & 25: 11am-4pm,
Henrico County,Tuckahoe Area Library,1901 Starling Drive,Henrico,VA,,,,804-501-4347,Coming Soon,Oct 24 & 31: 9am-5pm,Sun Oct 18 & 25: 11am-4pm,
Henrico County,Deep Run Park Recreation Center,9900 Ridgefield Parkway,Henrico,VA,,,,804-501-4347,Coming Soon,Oct 24 & 31: 9am-5pm,Sun Oct 18 & 25: 11am-4pm,
Henry County,Voter Registrar Office,"3300 Kings Mountain Rd, Room 103",Martinsville,VA,24112,,,276-634-4698,Coming Soon,Coming Soon,,
Highland County,Highland County Voter Registration Office,97 Highland Center DR Module C,Monterey,VA,24465,,,540-468-2013,Coming Soon,Coming Soon,,
Hopewell City,Elections Office,106 N Main St,Hopewell,VA,23860,,,804-541-2232,Coming Soon,Coming Soon,,
Isle of Wight County,Voter Registrar Office,17106 Monument Circle,Isle of Wight,VA,23397,,,757-365-6230,Coming Soon,Coming Soon,,
James City County,James City County Vote Center,4095 Ironbound Rd,Williamsburg,VA,23188,,,757-259-4949,Coming Soon,Coming Soon,,
King & Queen County,Voter Registrar Office,232 Allens Circle,King & Queen,VA,23085,,,804-785-5980,Coming Soon,Coming Soon,,
King George County,Voter Registrar Office,10459 Courthouse Drive Suite 102,King George,VA,22485,,,540-775-9186,Coming Soon,Coming Soon,,
King William County,Voter Registrar Office,180 Horse Landing Road #1,King William,VA,23086,,,804-769-4952,Coming Soon,Coming Soon,,
Lancaster County,"County Administration Building, Lower Level",8311 Mary Ball Road,Lancaster,VA,22503,,,804-462-5277,Coming Soon,Coming Soon,,
Lee County,Voter Registrar Office,133 School Board Place.,Jonesville,VA,24263,,,276-346-7780,Coming Soon,Coming Soon,,
Lexington,Elections Office,300 East Washington Street,Lexington,VA,24450,,,540-462-3706,Coming Soon,Coming Soon,,
Loudoun County,Elections Office,750 Miller Drive SE,Leesburg,VA,20175,,,703-777-0380,September 18 thru October 30: Mon/Wed/Fri 10am-5pm; Tue/Thurs 12-7pm,Oct 24 & 31: 9am-5pm,Sun Oct 18 & 25: 11am-4pm,https://www.loudoun.gov/5392/Early-Voting-Information
Loudoun County,Ashburn Recreation and Community Center,21105 Coopers Hawk Drive,Ashburn,VA,20147,,,703-777-0380,Oct 19 thru Oct 30: Mon/Wed/Fri 10am-5pm; Tue/Thurs 12-7pm,Oct 24 & 31: 9am-5pm,Sun Oct 18 & 25: 11am-4pm,https://www.loudoun.gov/5392/Early-Voting-Information
Loudoun County,Claude Moore Rec Center,46105 Loudoun Park Lane,Sterling,VA,20164,,,571-2583600,Oct 19 thru Oct 30: Mon/Wed/Fri 10am-5pm; Tue/Thurs 12-7pm,Oct 24 & 31: 9am-5pm,Sun Oct 18 & 25: 11am-4pm,https://www.loudoun.gov/5392/Early-Voting-Information
Loudoun County,Dulles South Recreation Center,24950 Riding Center Drive,Chantilly,VA,20152,,,703-777-0381,Oct 19 thru Oct 30: Mon/Wed/Fri 10am-5pm; Tue/Thurs 12-7pm,Oct 24 & 31: 9am-5pm,Sun Oct 18 & 25: 11am-4pm,https://www.loudoun.gov/5392/Early-Voting-Information
Loudoun County,Carver Senior Center,200 E Willie Palmer Way,Purcellville,VA,20132,,,703-777-0382,Oct 19 thru Oct 30: Mon/Wed/Fri 10am-5pm; Tue/Thurs 12-7pm,Oct 24 & 31: 9am-5pm,Sun Oct 18 & 25: 11am-4pm,https://www.loudoun.gov/5392/Early-Voting-Information
Louisa County,Voter Registration Office,103 MCDONALD ST,Louisa,VA,23093,,,540-967-3427,Coming Soon,Coming Soon,,
Lunenburg County,Voter Registrar Office,160 Courthouse Square,Lunenburg,VA,23952,,,434-696-3071,Coming Soon,Coming Soon,,
Lynchburg City,Voter Registration Office,"825 Kemper Street, Suite A",Lynchburg,VA,24501,,,434-477-5999,Coming Soon,Coming Soon,,
Madison County,Voter Registrar Office,414 N Main Street,Madsion,VA,22727,,,540-948-6533,Coming Soon,Coming Soon,,
Manassas City,Voter Registrar Office,9025 Center Street,Manassas,VA,20110,,,703-335-8806,Coming Soon,Coming Soon,,
Manassas Park City,City Hall,100 Park Central Plaza,Manassas Park,VA,20111,,,(703) 335-8806,Coming Soon,Coming Soon,,
Martinsville City,General Registar's Office,"55 West Church Street, Office 122",Martinsville,VA,24114,,,276-403-5122,Coming Soon,Coming Soon,,
Mathews County,Voter Registrar Office at Liberty Square Complex,10604 Buckley Hall Rd,Mathews,VA,23109,,,804-725-3200,Coming Soon,Coming Soon,,
Mecklenburg County,Voter Registrar Office,316 Washington Street,Boydton,VA,23917,,,434-738-6191 Ext. 4313,Coming Soon,Coming Soon,,
Middlesex County,Voter Registrar Office,105 Bowden St.,Saluda,VA,23149,,,804-758-4420,Coming Soon,Coming Soon,,
Montgomery County,Office of Elections,1546 North Franklin St.,Christiansburg,VA,24073,,,(540) 382-5741,Coming Soon,Coming Soon,,
Nelson County,Voter Registrar Office,571 Front Street,Lovingston,VA,22949,,,(434) 263-7190,Coming Soon,Coming Soon,,
New Kent County,General Registar's Office,7911 Courthouse Way Suite 400,New Kent,VA,23124,,,(804) 966-9699,Coming Soon,Coming Soon,,
Newport News,Denbigh Community Center,15198 Warwick Blvd. Room 152,Newport News,VA,23607,37.1421634,-76.5469028,757-664-4353,Coming Soon,Coming Soon,,
Newport News City,City Hall Main Office,"2400 Washington Avenue, 6th floor",Newport News,VA,23607,36.9815866,-76.4327318,757-926-8683,Coming Soon,Coming Soon,,
Newport News City,Fountain Plaza II,"700 Town Center Drive, 2nd floor",Newport News,VA,23606,37.0864856,-76.4741497,757-926-8684,Coming Soon,Coming Soon,,
Norfolk City,City Hall Building,"810 Union Street, 1st Floor",Norfolk,VA,23510,36.8446625,-76.28575,757-664-4353,September 18 thru October 30: 9am-5pm,October 24 and 31: 9am-5pm,October 18 and 25: 11am-4pm,
Norfolk City,Jordan-Newby Anchor Branch Library,1425 Norchester Avenue,Norfolk,VA,23504,36.8571173,-76.2558596,757-664-4353,September 18 thru October 30: 9am-5pm,October 24 and 31: 9am-5pm,October 18 and 25: 11am-4pm,
Norfolk City,Berkley Recreation Center,121 W. Liberty Street,Norfolk,VA,23523,36.8318309,-76.2846914,757-664-4353,September 18 thru October 30: 9am-5pm,October 24 and 31: 9am-5pm,October 18 and 25: 11am-4pm,
Norfolk City,Lambert's Point Community Center,1251 W. 42nd Street,Norfolk,VA,23508,36.88250732,-76.30748749,757-664-4353,September 18 thru October 30: 9am-5pm,October 24 and 31: 9am-5pm,October 18 and 25: 11am-4pm,
Norfolk City,Mary D. Pretlow Anchor Branch Library,111 W. Ocean View Avenue,Norfolk,VA,23503,36.952971,-76.2512093,757-664-4353,September 18 thru October 30: 9am-5pm,October 24 and 31: 9am-5pm,October 18 and 25: 11am-4pm,
Northampton County,Voter Registrar Office,16404 Courthouse Rd,Eastville,VA,23310,37.3532372,-75.9467421,757-678-0480,Coming Soon,Coming Soon,,
Northumberland County,Voter Registrar Office,45 Back Street,Heathsville,VA,22473,,,(804) 580-4655,Coming Soon,Coming Soon,,
Norton County,Voter Registrar Office,201 Park Ave. NE,Norton,VA,24273,,,(276) 679-1162,Coming Soon,Coming Soon,,
Nottoway County,Voter Registrar Office,507 Ingleside St,BURKEVILLE,VA,23922,,,434-767-2135,Coming Soon,Coming Soon,,
Nottoway County,Blackstone Police Department,101 Elm Street,Blackstone,VA,23824,,,434-767-2136,Coming Soon,Coming Soon,,
Orange County,Voter Registrar Office,"146 Madison Road, Suite 204",Orange,VA,22960,,,(540)-672-5262,Coming Soon,Coming Soon,,
Page County,Prince Edward County Courthouse; Elections Office Early Voting Room,103 S Court Street Suite D,Luray,VA,22835,,,540-743-3986,Coming Soon,Coming Soon,,
Patrick County,General Registar's Office,"106 Rucker Street, Room 216C",Stuart,VA,24171,,,276-694-7206,Coming Soon,Coming Soon,,
Petersburg City,General Registar's Office,229 N. Market Street,Petersburg,VA,23803,,,804-733-8071,Coming Soon,Coming Soon,,
Pittsylvania County,Voter Registrar Office,18 Depot Street,Chatham,VA,24531,,,434-432-7971,Coming Soon,Coming Soon,,
Poquoson County,City Hall Building,500 City Hall Ave,Poquoson,VA,23662,,,757-868-3070,Coming Soon,Coming Soon,,
Portsmouth City,Voter Registrar Office,"801 Crawford Street, First Floor",Portsmouth,VA,23704,,,757-393-8644,Coming Soon,Coming Soon,,
Powhatan County,Voter Registrar Office,3910 Old Buckingham Road,Powhatan,VA,23139,,,804-598-5604,Coming Soon,Coming Soon,,
Prince Edward County,County Courthouse; Elections Office Early Voting Room,"124 N. Main St., Floor 2",Farmville,VA,23901,,,434-392-4767,Coming Soon,Coming Soon,,
Prince George County,Voter Registrar Office,6602 Courts Drive,Prince George,VA,23875,,,(804) 722-8748,Coming Soon,Coming Soon,,
Prince William County,Prince William Office of Elections,9250 Lee Ave Ste. 1,Manassas,VA,20110,,,703-792-6470,Sept 18 - Oct 31: 8:30am-4:30pm 7pm on Wednesday,Oct 24 & 31: 11am-5pm,Oct 18 & 25: 11am-5pm,https://www.pwcvotes.org/earlyvoting
Prince William County,DMV Woodbridge,2731 Caton Hill Rd,Woodbridge,VA,22191,,,703-792-6470,Sept 18 - Oct 30: 8:30am-4:30pm ,Oct 24 & 31: 11am-5pm,Oct 18 & 25: 11am-5pm,https://www.pwcvotes.org/earlyvoting
Prince William County,A.J. Ferlazzo Building,15941 Donald Curtis Dr,Woodbridge,VA,22191,,,703-792-6470,Oct 19 - Oct 30: 8:30am-4:30pm,Oct 24 & 31: 11am-5pm,Oct 18 & 25: 11am-5pm,https://www.pwcvotes.org/earlyvoting
Prince William County,Haymarket Gainesville Library,14870 Lightner Rd,Haymarket,VA,20169,,,703-792-6470,Oct 19 - Oct 30: 8:30am-4:30pm,Oct 24 & 31: 11am-5pm,Oct 18 & 25: 11am-5pm,https://www.pwcvotes.org/earlyvoting
